proposal,test_balanced_accuracy,n_images,n_clusters,intervention_rate,delta,Delta_authority_image,Delta_authority_image_ci_lower,Delta_authority_image_ci_upper,Delta_authority_cluster,Delta_authority_cluster_ci_lower,Delta_authority_cluster_ci_upper
LLaVA-Med head,0.249,3967,2090,0.1628434585328964,0.08374624613003108,0.01363752835896145,-0.05577175891238842,0.08646590292581141,-0.09646847603492607,-0.1562745300506015,-0.036695834858059585
MedGemma readout,0.42,3967,2090,0.34106377615326444,2.1822757206208427,0.744295197882531,0.4912050956756031,1.0101254532408555,0.055652863259125766,-0.10746881452446425,0.2184677934688346
CLIP probe,0.546,3967,2090,0.27577514494580285,2.9875189670932354,0.8238834761784722,0.6211795589344825,1.0331645843478665,0.3369788896933077,0.2556214650054258,0.4220339005520446
