estimand,n_images,n_clusters,J_auth,J,intervention_rate,delta,Delta_authority,J_auth_ci_lower,J_auth_ci_upper,J_ci_lower,J_ci_upper,intervention_rate_ci_lower,intervention_rate_ci_upper,delta_ci_lower,delta_ci_upper,Delta_authority_ci_lower,Delta_authority_ci_upper
image_weighted_primary,3967,2090,-2.9384751512477942,-2.8878352659440383,0.2808167380892362,-0.1803307226211849,-0.05063988530375598,-3.240874226258933,-2.6529138812493955,-3.1837296324577675,-2.6152098240812554,0.2578202352051181,0.3042290393347767,-0.9421465541539393,0.5583161790188155,-0.261629135667953,0.15799729218236705
cluster_equal_sensitivity,3967,2090,,,,,-0.2242456370357681,,,,,,,,,-0.3579016897426244,-0.09320088764252224
