estimand,n_images,n_clusters,J_auth,J,intervention_rate,delta,Delta_authority,J_auth_ci_lower,J_auth_ci_upper,J_ci_lower,J_ci_upper,intervention_rate_ci_lower,intervention_rate_ci_upper,delta_ci_lower,delta_ci_upper,Delta_authority_ci_lower,Delta_authority_ci_upper
image_weighted_primary,3967,2090,-2.9384751512477942,-3.6827703491303247,0.34106377615326444,2.1822757206208427,0.744295197882531,-3.240874226258933,-2.6529138812493955,-4.066948857380979,-3.2998107889559685,0.31496033516149885,0.3668647045488892,1.4873501947685028,2.8853683945891113,0.4912050956756031,1.0101254532408555
cluster_equal_sensitivity,3967,2090,,,,,0.055652863259125766,,,,,,,,,-0.10746881452446425,0.2184677934688346
