estimand,n_images,n_clusters,J_auth,J,intervention_rate,delta,Delta_authority,J_auth_ci_lower,J_auth_ci_upper,J_ci_lower,J_ci_upper,intervention_rate_ci_lower,intervention_rate_ci_upper,delta_ci_lower,delta_ci_upper,Delta_authority_ci_lower,Delta_authority_ci_upper
image_weighted_primary,3967,2090,-2.9384751512477942,-3.312954751701538,0.47012856062515757,0.7965472252010725,0.37447960045374346,-3.240874226258933,-2.6529138812493955,-3.6484739379928177,-2.9902857694515377,0.44228262878540564,0.4973761460667824,0.19469930109668301,1.3918272085463117,0.09131263360862536,0.6626786773396531
cluster_equal_sensitivity,3967,2090,,,,,-0.20563008192368187,,,,,,,,,-0.3734660786310442,-0.037470640470438805
